id,date,category
918273021489639274_1574448514,2015-02-11T20:31:36.000Z,composite
918160804932939028_1574448514,2015-02-11T16:48:38.000Z,finalisti
917973458618871136_1574448514,2015-02-11T10:36:25.000Z,composite
917514047794375791_1574448514,2015-02-10T19:23:39.000Z,composite
917236259543772595_1574448514,2015-02-10T10:11:44.000Z,composite
916766166909120175_1574448514,2015-02-09T18:37:45.000Z,composite
916651489554263870_1574448514,2015-02-09T14:49:54.000Z,composite
916569802992446566_1574448514,2015-02-09T12:07:36.000Z,annuncio
916497603031919645_1574448514,2015-02-09T09:44:09.000Z,vincitori
916135464358309577_1574448514,2015-02-08T21:44:39.000Z,composite
915839508404432758_1574448514,2015-02-08T11:56:38.000Z,composite
915775373343911401_1574448514,2015-02-08T09:49:13.000Z,composite
915344038913568552_1574448514,2015-02-07T19:32:14.000Z,composite
915342472995335930_1574448514,2015-02-07T19:29:07.000Z,composite
915104860204362892_1574448514,2015-02-07T11:37:01.000Z,finalisti
915101738459393106_1574448514,2015-02-07T11:30:49.000Z,annuncio
914524762870836264_1574448514,2015-02-06T16:24:28.000Z,composite
914391997798083727_1574448514,2015-02-06T12:00:42.000Z,composite
914340707760008594_1574448514,2015-02-06T10:18:47.000Z,composite
913846143248953329_1574448514,2015-02-05T17:56:11.000Z,composite
913844746361171923_1574448514,2015-02-05T17:53:24.000Z,composite
913803841755343949_1574448514,2015-02-05T16:32:08.000Z,vincitori
913131541951344279_1574448514,2015-02-04T18:16:24.000Z,composite
913036257372073280_1574448514,2015-02-04T15:07:05.000Z,composite
912946522528083424_1574448514,2015-02-04T12:08:48.000Z,composite
912376680234283006_1574448514,2015-02-03T17:16:37.000Z,composite
912302937474526520_1574448514,2015-02-03T14:50:06.000Z,composite
912167090980843262_1574448514,2015-02-03T10:20:12.000Z,finalisti
911459577226521858_1574448514,2015-02-02T10:54:30.000Z,composite
911421677453635290_1574448514,2015-02-02T09:39:12.000Z,composite
910742044135583300_1574448514,2015-02-01T11:08:53.000Z,composite
910740852827418160_1574448514,2015-02-01T11:06:31.000Z,composite
910704166684782450_1574448514,2015-02-01T09:53:38.000Z,annuncio
910211918486498454_1574448514,2015-01-31T17:35:37.000Z,other
910201275045834576_1574448514,2015-01-31T17:14:29.000Z,vincitori
910093232207490769_1574448514,2015-01-31T13:39:49.000Z,annuncio
909534648130269169_1574448514,2015-01-30T19:10:00.000Z,composite
909469811840839101_1574448514,2015-01-30T17:01:11.000Z,composite
909322851121032238_1574448514,2015-01-30T12:09:12.000Z,recall
909318443670892492_1574448514,2015-01-30T12:00:27.000Z,composite
908790247074491729_1574448514,2015-01-29T18:31:01.000Z,composite
908716001535126964_1574448514,2015-01-29T16:03:30.000Z,composite
908639933922995898_1574448514,2015-01-29T13:32:22.000Z,composite
908560097678388410_1574448514,2015-01-29T10:53:45.000Z,other
908558365271452833_1574448514,2015-01-29T10:50:18.000Z,composite
908558196224224413_1574448514,2015-01-29T10:49:58.000Z,finalisti
907926480899993222_1574448514,2015-01-28T13:54:52.000Z,composite
907833033350376466_1574448514,2015-01-28T10:49:12.000Z,composite
907101086844121028_1574448514,2015-01-27T10:34:57.000Z,composite
906685190128463677_1574448514,2015-01-26T20:48:39.000Z,composite
906556137752948275_1574448514,2015-01-26T16:32:14.000Z,composite
906483987092270942_1574448514,2015-01-26T14:08:53.000Z,composite
