"","username","photosCount","commentsCount","likesCount","fit.cluster"
"1","sunflower83v",0,1,80,4
"2","io_e_te__",0,1,0,5
"3","elypulici",0,1,34,5
"4","io_semplicementeirene",0,1,11,5
"5","cinziafira",0,1,163,4
"6","n_komolova",0,1,0,5
"7","dexlurcher",0,1,16,5
"8","alicemiao7",0,1,26,5
"9","mapylesuericette_",37,1,44,3
"10","cinni63",0,1,81,4
"11","gildamadonia",0,1,125,4
"12","lamiacasashabby",51,1,88,6
"13","giuliajulespuccetti",0,1,0,5
"14","mitzilove84",0,1,3,5
"15","chia_piscedda",0,2,75,4
"16","giusy_adams__kerr",0,1,2,5
"17","ale_verdementa",0,1,2,5
"18","chiaraponzone",0,1,0,5
"19","apfau",0,1,0,5
"20","kristinka_rnb",0,1,0,5
"21","lataliana",0,1,0,5
"22","rosa_maria_lauria",0,1,0,5
"23","maurocatarinelli",0,1,4,5
"24","chicneverland",0,1,32,5
"25","kane.bowen",0,1,0,5
"26","minettathepanda",0,1,109,4
"27","vaporizercity",0,1,0,5
"28","ebbo74",0,1,1,5
"29","kitchenvictim_events",0,1,110,4
"30","marianna1320",0,2,52,4
"31","thebigmessedupmum",11,2,501,1
"32","elenacibien",0,1,6,5
"33","amazinggirl1233",0,1,0,5
"34","tourbillondelavieshop",0,1,0,5
"35","robin.danielle.fitlife",0,1,0,5
"36","manu_boi",0,1,0,5
"37","veganfamilyrecipes",0,1,11,5
"38","ez68",0,1,14,5
"39","erikicca",0,1,10,5
"40","franzonimary",0,1,0,5
"41","raisemyfunds",0,1,1,5
"42","nandolai",0,1,29,5
"43","nutridate",0,1,2,5
"44","fusa_e_muffin",0,1,59,4
"45","tarrebola",0,1,11,5
"46","starmum_",0,1,72,4
"47","sarasamperi",0,1,15,5
"48","rosrosaria",0,1,2,5
"49","saraplus82",0,1,2,5
"50","francianeefabio",0,1,1,5
"51","adasol_",0,1,3,5
"52","loft67",0,1,8,5
"53","cucina_e_dintorni_con_teresa",15,2,8,2
"54","babiassi",1,1,3,5
"55","golosometro",0,1,0,5
"56","ileniame",0,1,40,4
"57","apranzodapit",0,2,83,4
"58","giudittacolombo",0,1,0,5
"59","verdy75",0,1,2,5
"60","oldnewvintageandblue",0,1,3,5
"61","miki.228",0,1,4,5
"62","paolaturani",0,1,16,5
"63","audaryavini",0,1,4,5
"64","cristinasantinon_rizonhills",0,2,4,5
"65","missmarzipancom",0,1,0,5
"66","vinegag",0,1,1,5
"67","federicabuccoli",52,15,71,6
"68","ig.hmap",0,1,3,5
"69","cleo_thequeen",0,1,23,5
"70","ikkio1947",0,1,34,5
"71","citrahendrawijaya",0,2,1,5
"72","anna_abroad_",0,1,1,5
"73","trippando",0,1,20,5
"74","lcc2009",0,2,0,5
"75","saimonet555",0,2,30,5
"76","markettoz",0,1,19,5
"77","kimklassen",0,1,1,5
"78","myriamottolenghi",0,1,1,5
"79","flowerslist_",0,1,36,5
"80","ellzie__",0,2,0,5
"81","jackydon69",0,1,11,5
"82","carlottatlg",0,2,1,5
"83","giulianadicuore",0,1,20,5
"84","apereginanevrotica",0,1,95,4
"85","vickyc75",0,1,7,5
"86","barbara_micheletto",0,1,20,5
"87","olga_slizh",0,1,3,5
"88","giadaesara",0,2,66,4
"89","4mely4",0,1,166,4
"90","acasamiablog",0,1,0,5
"91","veri_veronica",0,1,20,5
"92","spumadimandarini",0,2,82,4
"93","oggipaneesalame",0,1,4,5
"94","mericat.0316",0,1,0,5
"95","indigoveganjess",0,1,5,5
"96","vflorez12345",0,1,3,5
"97","bakesomecake",0,1,0,5
"98","hondo.x",0,1,0,5
"99","3heather24",0,1,0,5
"100","naomi23here",0,1,0,5
"101","trulyorganic",0,1,10,5
"102","lecasedideni",0,1,0,5
"103","veganfitnessmodel",0,1,1,5
"104","cdsfitstagram",0,1,0,5
