social,likes,createdDate
"instagram",693,2014-12-16T08:33:35Z
"instagram",693,2014-12-16T09:34:06Z
"instagram",696,2014-12-16T10:34:37Z
"facebook",120,2014-12-16T11:35:06Z
"instagram",697,2014-12-16T11:35:08Z
"facebook",121,2014-12-16T12:35:38Z
"instagram",698,2014-12-16T12:35:39Z
"facebook",123,2014-12-16T13:36:09Z
"instagram",700,2014-12-16T13:36:10Z
"facebook",123,2014-12-16T14:36:40Z
"instagram",699,2014-12-16T14:36:42Z
"facebook",125,2014-12-16T15:37:11Z
"instagram",699,2014-12-16T15:37:13Z
"facebook",125,2014-12-16T16:37:42Z
"facebook",127,2014-12-16T17:38:14Z
"facebook",128,2014-12-16T18:38:46Z
"facebook",132,2014-12-16T19:39:18Z
"facebook",132,2014-12-16T20:39:50Z
"facebook",134,2014-12-16T21:40:22Z
"facebook",136,2014-12-16T22:40:54Z
"facebook",136,2014-12-16T23:41:26Z
"facebook",136,2014-12-17T00:41:58Z
"facebook",136,2014-12-17T01:42:29Z
"instagram",687,2014-12-15T23:28:53Z
"instagram",690,2014-12-16T00:29:25Z
"instagram",690,2014-12-16T01:29:57Z
"instagram",690,2014-12-16T02:30:27Z
"instagram",689,2014-12-16T03:30:59Z
"instagram",689,2014-12-16T04:31:30Z
"instagram",689,2014-12-16T05:32:02Z
"facebook",110,2014-12-16T06:32:31Z
"instagram",690,2014-12-16T06:32:32Z
"facebook",113,2014-12-16T07:33:02Z
"instagram",692,2014-12-16T07:33:04Z
"facebook",115,2014-12-16T08:33:34Z
"facebook",115,2014-12-16T09:34:05Z
"facebook",118,2014-12-16T10:34:35Z
"facebook",94,2014-12-15T11:04:46Z
"instagram",710,2014-12-17T02:43:03Z
"instagram",710,2014-12-17T03:43:35Z
"instagram",710,2014-12-17T04:44:08Z
"instagram",710,2014-12-17T05:44:34Z
"instagram",710,2014-12-17T06:45:07Z
"facebook",137,2014-12-17T07:45:36Z
"instagram",712,2014-12-17T07:45:38Z
"facebook",137,2014-12-17T08:46:07Z
"instagram",712,2014-12-17T08:46:10Z
"facebook",137,2014-12-17T09:46:39Z
"instagram",712,2014-12-17T09:46:41Z
"facebook",137,2014-12-17T10:47:10Z
"instagram",712,2014-12-17T10:47:12Z
"facebook",138,2014-12-17T11:47:41Z
"facebook",138,2014-12-17T12:48:12Z
"facebook",140,2014-12-17T13:48:46Z
"facebook",141,2014-12-17T17:50:56Z
"facebook",142,2014-12-17T18:51:29Z
"facebook",143,2014-12-17T19:52:03Z
"facebook",143,2014-12-17T20:52:35Z
"facebook",145,2014-12-17T21:53:18Z
"facebook",145,2014-12-17T22:53:52Z
"facebook",145,2014-12-17T23:54:25Z
"facebook",145,2014-12-18T00:54:59Z
"facebook",145,2014-12-18T01:55:33Z
"facebook",145,2014-12-18T02:56:05Z
"facebook",145,2014-12-18T03:56:37Z
"instagram",700,2014-12-16T16:37:44Z
"instagram",701,2014-12-16T17:38:16Z
"instagram",700,2014-12-16T18:38:48Z
"instagram",702,2014-12-16T19:39:21Z
"instagram",703,2014-12-16T20:39:52Z
"instagram",709,2014-12-16T21:40:24Z
"instagram",709,2014-12-16T22:40:56Z
"instagram",710,2014-12-16T23:41:28Z
"instagram",710,2014-12-17T00:42:00Z
"instagram",710,2014-12-17T01:42:32Z
"facebook",136,2014-12-17T02:43:01Z
"facebook",136,2014-12-17T03:43:33Z
"facebook",136,2014-12-17T04:44:06Z
"facebook",136,2014-12-17T05:44:32Z
"facebook",137,2014-12-17T06:45:05Z
"facebook",94,2014-12-15T12:05:16Z
"facebook",94,2014-12-15T13:05:47Z
"facebook",94,2014-12-15T14:06:18Z
"facebook",94,2014-12-15T15:06:49Z
"facebook",94,2014-12-15T15:11:30Z
"facebook",95,2014-12-15T16:12:02Z
"facebook",95,2014-12-15T16:23:47Z
"facebook",95,2014-12-15T16:25:08Z
"facebook",95,2014-12-15T17:25:39Z
"facebook",95,2014-12-15T18:26:11Z
"instagram",683,2014-12-15T16:12:03Z
"instagram",683,2014-12-15T16:23:49Z
"instagram",683,2014-12-15T16:25:09Z
"instagram",683,2014-12-15T17:25:41Z
"instagram",683,2014-12-15T18:26:12Z
"instagram",683,2014-12-15T19:26:43Z
"instagram",683,2014-12-15T20:27:15Z
"instagram",683,2014-12-15T21:27:48Z
"instagram",685,2014-12-15T22:28:21Z
"facebook",110,2014-12-16T01:29:55Z
"facebook",110,2014-12-16T02:30:26Z
"facebook",110,2014-12-16T03:30:57Z
"facebook",110,2014-12-16T04:31:29Z
"facebook",110,2014-12-16T05:32:00Z
"instagram",671,2014-12-15T11:04:47Z
"instagram",677,2014-12-15T12:05:18Z
"instagram",682,2014-12-15T13:05:48Z
"instagram",682,2014-12-15T14:06:20Z
"instagram",683,2014-12-15T15:06:51Z
"instagram",683,2014-12-15T15:11:32Z
"facebook",95,2014-12-15T19:26:42Z
"facebook",97,2014-12-15T20:27:13Z
"facebook",97,2014-12-15T21:27:47Z
"facebook",105,2014-12-15T22:28:19Z
"facebook",109,2014-12-15T23:28:52Z
"facebook",109,2014-12-16T00:29:24Z
"instagram",716,2014-12-17T11:47:43Z
"instagram",719,2014-12-17T12:48:15Z
"instagram",720,2014-12-17T13:48:48Z
"facebook",141,2014-12-17T14:49:18Z
"facebook",141,2014-12-17T15:49:50Z
"facebook",141,2014-12-17T16:50:23Z
"instagram",722,2014-12-17T14:49:20Z
"instagram",721,2014-12-17T15:49:53Z
"instagram",722,2014-12-17T16:50:25Z
"instagram",723,2014-12-17T17:50:58Z
"instagram",724,2014-12-17T18:51:32Z
"instagram",724,2014-12-17T19:52:05Z
"instagram",725,2014-12-17T20:52:37Z
"instagram",725,2014-12-17T21:53:20Z
"instagram",727,2014-12-17T22:53:54Z
"instagram",727,2014-12-17T23:54:28Z
"instagram",727,2014-12-18T00:55:01Z
"instagram",727,2014-12-18T01:55:35Z
"instagram",727,2014-12-18T02:56:07Z
"instagram",727,2014-12-18T03:56:39Z
"facebook",145,2014-12-18T04:57:10Z
"instagram",727,2014-12-18T04:57:12Z
"facebook",145,2014-12-18T05:57:42Z
"instagram",727,2014-12-18T05:57:45Z
"facebook",145,2014-12-18T06:58:15Z
"instagram",728,2014-12-18T06:58:17Z
"facebook",145,2014-12-18T07:58:47Z
"instagram",728,2014-12-18T07:58:49Z
"facebook",145,2014-12-18T08:59:19Z
"instagram",728,2014-12-18T08:59:21Z
"facebook",145,2014-12-18T09:59:51Z
"instagram",728,2014-12-18T09:59:53Z
"facebook",146,2014-12-18T11:00:22Z
"instagram",730,2014-12-18T11:00:25Z
"facebook",147,2014-12-18T12:00:54Z
"instagram",734,2014-12-18T12:00:57Z
"facebook",147,2014-12-18T13:01:27Z
"instagram",734,2014-12-18T13:01:29Z
"facebook",149,2014-12-18T14:01:59Z
"instagram",734,2014-12-18T14:02:01Z
"facebook",149,2014-12-18T15:02:32Z
"instagram",733,2014-12-18T15:02:34Z
"facebook",150,2014-12-18T16:03:05Z
"instagram",732,2014-12-18T16:03:07Z
"facebook",150,2014-12-18T17:03:38Z
"instagram",732,2014-12-18T17:03:40Z
"facebook",150,2014-12-18T18:04:12Z
"instagram",732,2014-12-18T18:04:14Z
"facebook",150,2014-12-18T19:04:45Z
"instagram",732,2014-12-18T19:04:48Z
"facebook",150,2014-12-18T20:05:18Z
"instagram",732,2014-12-18T20:05:21Z
"facebook",151,2014-12-18T21:05:51Z
