likes,users
0,107165
1,23192
2,10337
3,5727
4,3573
5,2584
6,1891
7,1402
8,1122
9,821
10,718
11,577
12,497
13,426
14,405
15,337
16,335
17,293
18,242
19,189
20,207
21,199
22,137
23,146
24,125
25,118
26,99
27,83
28,93
29,80
30,75
31,72
32,62
33,62
34,55
35,46
36,40
37,41
38,44
39,43
40,29
41,36
42,30
43,31
44,33
45,19
46,21
47,23
48,24
49,20
50,26
51,18
52,25
53,17
54,13
55,18
56,16
57,17
58,14
59,13
60,12
61,14
62,14
63,18
64,14
65,19
66,17
67,12
68,12
69,7
70,7
71,14
72,4
73,4
74,10
75,15
76,10
77,5
78,5
79,7
80,5
81,6
82,5
83,1
84,6
85,8
86,6
87,7
88,4
89,6
90,6
91,5
92,0
93,6
94,4
95,3
96,8
97,6
98,3
99,7
100,2
101,1
102,7
103,4
104,2
105,5
106,2
107,3
108,2
109,3
110,2
111,3
112,1
113,0
114,4
115,2
116,1
117,1
118,4
119,2
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,2
128,6
129,0
130,0
131,2
132,3
133,2
134,0
135,1
136,1
137,1
138,4
139,1
140,2
141,4
142,2
143,3
144,0
145,0
146,0
147,0
148,1
149,2
150,4
151,1
152,4
153,0
154,3
155,2
156,1
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,3
169,0
170,1
171,0
172,0
173,2
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,2
184,0
185,5
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,2
194,1
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,2
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,2
240,0
241,2
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,1
255,0
256,2
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,1
