id,category,earlyLikes,earlyComments,totalComments,totalLikes
918160804932939028_1574448514,f,36,2,2,37
916497603031919645_1574448514,v,79,11,11,86
916135464358309577_1574448514,c,76,12,15,98
915839508404432758_1574448514,c,78,19,20,92
915342472995335930_1574448514,c,53,2,2,63
915101738459393106_1574448514,a,50,1,1,57
915104860204362892_1574448514,f,41,8,10,48
913844746361171923_1574448514,c,57,5,6,88
912376680234283006_1574448514,c,85,12,14,102
912302937474526520_1574448514,c,80,13,13,96
912167090980843262_1574448514,f,40,4,4,44
906360052027682531_1574448514,a,64,1,1,64
906372443863969670_1574448514,v,92,13,13,92
907101086844121028_1574448514,c,88,5,5,89
907833033350376466_1574448514,c,71,5,5,73
912946522528083424_1574448514,c,65,5,5,73
907926480899993222_1574448514,c,101,9,9,102
908558196224224413_1574448514,f,36,9,9,36
906556137752948275_1574448514,c,105,19,19,108
908558365271452833_1574448514,c,70,6,6,73
908639933922995898_1574448514,c,78,2,2,79
908716001535126964_1574448514,c,81,6,6,81
908790247074491729_1574448514,c,92,5,6,96
909318443670892492_1574448514,c,79,5,5,81
909322851121032238_1574448514,r,47,5,6,50
909469811840839101_1574448514,c,97,5,5,100
909534648130269169_1574448514,c,98,7,7,104
910093232207490769_1574448514,a,48,2,2,49
915775373343911401_1574448514,c,69,4,4,79
910201275045834576_1574448514,v,63,9,9,67
910742044135583300_1574448514,c,98,8,8,105
911421677453635290_1574448514,c,76,4,4,87
897982522979708122_1574448514,c,74,8,8,97
911459577226521858_1574448514,c,90,4,4,105
904238049539845400_1574448514,c,64,4,5,70
904173445480639762_1574448514,c,52,7,7,58
913803841755343949_1574448514,v,68,4,4,92
881179642947890303_1574448514,o,15,1,6,19
903602490412821865_1574448514,c,55,1,1,70
896973627167534296_1574448514,c,46,6,5,52
903080620529740800_1574448514,c,71,3,3,89
878259420184112206_1574448514,r,21,1,1,23
870940566718180373_1574448514,a,20,0,0,20
902921035282050195_1574448514,c,86,12,16,101
910211918486498454_1574448514,o,72,13,13,74
872364986850537212_1574448514,c,38,11,11,43
902316738072735481_1574448514,c,75,11,15,95
887682830727311153_1574448514,c,29,5,5,43
901574347128761885_1574448514,c,68,1,3,101
898714172059479340_1574448514,c,54,3,4,67
901424037483703790_1574448514,c,55,6,6,65
901426872992591401_1574448514,c,48,4,5,68
900675515306143006_1574448514,a,44,1,1,57
900136406883953753_1574448514,a,29,1,1,41
890535519408549341_1574448514,o,24,1,1,28
894734391013994222_1574448514,a,41,2,2,44
899193442628201978_1574448514,c,59,12,12,70
914391997798083727_1574448514,c,73,13,15,82
876221943332138653_1574448514,c,23,4,7,36
899127552553446758_1574448514,r,36,0,0,39
891138119887678930_1574448514,c,38,4,6,47
898613073839320877_1574448514,c,59,6,6,74
898420729785544537_1574448514,c,68,10,10,76
897211276247624887_1574448514,c,75,5,5,95
904908040849255669_1574448514,f,38,0,0,50
896994816841674268_1574448514,c,70,7,7,81
916569802992446566_1574448514,a,63,3,4,73
896228047327784508_1574448514,c,63,4,5,73
894906317934095538_1574448514,c,45,8,11,66
904905212588125370_1574448514,a,52,1,3,58
881046436651134728_1574448514,c,30,7,8,35
874096215463488992_1574448514,c,27,2,2,31
914340707760008594_1574448514,c,79,10,10,90
867517920458501923_1574448514,o,19,3,4,19
894071674750037492_1574448514,c,45,3,4,65
915344038913568552_1574448514,c,57,8,8,68
904970094167649739_1574448514,c,78,4,4,98
865964515235654791_1574448514,o,7,0,0,7
873277909831708098_1574448514,c,40,1,1,41
889010229410721765_1574448514,c,32,3,4,39
897858811018538280_1574448514,c,53,3,3,67
884278005545234165_1574448514,c,30,3,6,46
896230021620231762_1574448514,c,57,5,4,73
889035866859040292_1574448514,r,26,1,1,30
902053483253264350_1574448514,c,72,11,13,89
892807568759909820_1574448514,c,36,5,4,51
910704166684782450_1574448514,a,60,4,5,66
881756849684540896_1574448514,c,36,5,5,40
885579298427563773_1574448514,r,20,0,0,32
872447155832811051_1574448514,r,13,1,1,14
892599675733339318_1574448514,c,40,8,7,56
885366854446935594_1574448514,c,39,5,7,48
904161855813381223_1574448514,v,57,4,4,72
893521333402922368_1574448514,c,40,7,8,69
886131189427400650_1574448514,c,34,6,8,39
876233557125033893_1574448514,c,25,3,6,47
885321679418879846_1574448514,a,40,2,2,43
871582254402825260_1574448514,r,19,0,0,19
883189950205849393_1574448514,o,33,0,0,41
910740852827418160_1574448514,c,84,6,6,93
906685190128463677_1574448514,c,90,5,5,91
882639016178413481_1574448514,c,24,4,5,34
878934336336228347_1574448514,r,15,1,1,19
889704108892024481_1574448514,a,27,3,4,34
882588431605493097_1574448514,o,18,1,1,26
902731834271919671_1574448514,f,53,3,13,62
874558952035511534_1574448514,c,24,4,4,27
874094469097909685_1574448514,c,21,2,2,25
889842998479088964_1574448514,r,21,0,2,30
870296514964417968_1574448514,r,23,0,0,24
904455837835521249_1574448514,c,56,4,6,75
880304592812174763_1574448514,a,26,1,1,30
913131541951344279_1574448514,c,48,3,3,71
901425761619471891_1574448514,c,43,6,6,54
889226048858156510_1574448514,c,42,4,6,51
887572850959380317_1574448514,c,38,4,6,48
