username,photosCount,commentsCount,likesCount
"someartstories",7,0,1
"societaumanitaria",14,24,2
"elybetty",4,8,1
"ab_alessia_",9,2,6
"eliananegroni",5,0,1
"nivesandmina",1,2,1
"itineraribs",1,0,1
"ienatessi",2,0,1
"federica_thomas0609",1,0,5
"antonio199302",3,0,1
"ale__cec",1,0,1
"eggfooddesign",9,0,1
"simonascarioni",8,2,1
"beatricerossi_",1,0,3
"riccardofiesoli",1,0,4
"meggy298",6,0,2
"rizzorosetta",5,21,9
"creativeaty",2,0,9
"eleonora_aa",3,0,1
"zueggitalia",1,0,1
"irenebollasina",3,0,11
"pratesipatrizia",1,0,1
"laribo",25,1,1
"nicoagresti",41,0,17
"jacmcdan",1,0,1
"armiarri",4,0,1
"valelove87",6,0,5
"silvia_ardu",4,1,1
"deboracappello",28,0,7
"samaritanacafe",8,0,70
"marta_sm_it",5,0,4
"giuly2191",1,0,12
"redellasfoglia",1,0,1
"domyrhcp",17,0,1
"valerialorusso",16,0,2
"i_camperisti",16,0,3
"rigonidiasiago",1,0,6
"susannagullo",1,0,2
"vale3001",18,0,16
"brasilenacaffe",4,0,1
"sophieblabla",4,0,1
"stevan_ra",3,0,1
"senzale",2,0,2
"eli_moro",1,0,2
"sara.micheletto",4,0,4
"robertaballirano",1,0,5
"antonio1810",2,0,7
"isabella_sodamkim",1,0,12
"pastryskathyb",9,0,1
"elesalerno",1,0,2
"gustasano.it",4,0,7
"dariocosta93",16,0,1
"giulia_toy",2,3,1
"vincenzodl91",3,0,2
"ristorante_dinky",17,0,17
"valevono",6,1,2
"atypical_milano",8,0,1
"xsenijas",4,0,5
"luvisilvia",3,0,1
"zahirailoveyou",2,0,2
"rachelecattano",1,0,15
"idaysivas",10,0,8
"giorgiacapriglia",4,0,6
"ericadinny",3,0,1
"darkmoonlight_98",1,0,6
"_mp_93",44,25,11
"lelaperez",2,3,2
"sofiabeccia",1,0,2
"memolemem",25,1,11
"luca.cofrancesco",1,0,2
"mmagenes",2,0,1
"she.is.shy",5,0,12
"esterdrag0ni",1,0,1
"federovati",2,0,5
"vero_97b",1,0,1
"franci_belve",2,0,1
"cahmantovani",92,46,25
"buchvega",9,0,43
"cucinama",8,0,23
"mtchallenge",1,0,1
"ferreraortofrutta",1,0,1
"nomnomqb",38,0,8
"olga_mark",12,0,2
"doriana_fitenutrition",31,0,16
"aycakocak",9,0,3
"aiznic14",1,0,2
"anannaranna",3,1,29
"doppiozerolab",3,0,13
"la_bonati",69,17,13
"yesmoreplease",8,0,15
"myhealthymood",20,4,10
"carol_franzosi",31,0,33
"biscottoclandestino",7,0,16
"femarconif",1,0,2
"stefatamian",10,0,38
"profumieparole",3,0,2
"daicuciniamo_conlaiaia",42,5,265
"alessiazoccari",1,0,2
"locanda2camini",34,1,25
"queenofmydreams",1,0,169
"threeloads",12,0,3
"zomaservice",1,0,2
"_clari3",3,0,11
"biancasacheli",6,0,16
"angolodelleghiottonerie",133,99,200
"marcobrambi",22,0,386
"fraliuz",7,0,54
"anjamarsic",7,0,1
"rosarosebistrot",24,21,54
"eugenio_loreti",3,0,1
"carlo_cp",11,0,2
"vibebags",6,0,14
"marcorecorder",11,0,7
"animalsb11",3,0,1
"silvanamigliozzi",21,0,7
"marcoluvie",1,0,1
"adelececchini",34,0,5
"deb_ontheroad",1,0,1
"brododigiuggiolee",28,0,23
"alicegelfi",1,0,5
"aliceultreia",1,0,2
"whiteandromance",3,0,73
"mamacreazioni",9,0,21
"mypluginbaby89",1,0,1
"elisamelandri",9,0,3
"gvannapagano",1,0,3
"_lajules_instagram",1,0,1
"ypsilon.m",5,0,1
"lorizar",3,0,6
"lovecooking_",9,1,26
"impastastorie",284,260,365
"alylilli",6,0,25
"alicedanini1994",4,0,2
"chiaraber",2,0,3
"afuocolento",3,0,11
"_fed.pascali",1,0,6
"piattiperstudentiincrisi",1,0,8
"mariachiaradenicolo",1,0,6
"romeexpress",18,8,17
"alice_devincentiis",1,0,21
"mpaola77",19,10,262
"martiiitram",9,0,5
"eyem360",7,0,1
"lacuisinedebea",3,0,13
"leti_campa98",4,0,7
"silvialarosa",1,0,11
"gli_speziali",21,0,1
"noemivallarelli_",13,0,2
"maciraviz",13,2,4
"arnaldagourmet",1,0,1
"orodioriale",7,0,72
"c_h_r_i_s_t_i_a_n_",5,2,19
"pe_pino",5,0,15
"laportineria",43,0,32
"ilesabetta",3,0,1
"valerycosty",17,0,16
"superombrina",15,0,5
"danielem1206",12,0,22
"chiaraambrosetti",4,0,8
"biancavaniglia",59,24,35
"alix_driver85",5,0,23
"alessiobrandoni",5,0,2
"emarosss",7,0,1
