username,photosCount,commentsCount,likesCount
"sunflower83v",0.0,1,80
"io_e_te__",0.0,1,0.0
"elypulici",0.0,1,34
"io_semplicementeirene",0.0,1,11
"cinziafira",0.0,1,163
"n_komolova",0.0,1,0.0
"dexlurcher",0.0,1,16
"alicemiao7",0.0,1,26
"mapylesuericette_",37,1,44
"cinni63",0.0,1,81
"gildamadonia",0.0,1,125
"lamiacasashabby",51,1,88
"giuliajulespuccetti",0.0,1,0.0
"mitzilove84",0.0,1,3
"chia_piscedda",0.0,2,75
"giusy_adams__kerr",0.0,1,2
"ale_verdementa",0.0,1,2
"chiaraponzone",0.0,1,0.0
"apfau",0.0,1,0.0
"kristinka_rnb",0.0,1,0.0
"lataliana",0.0,1,0.0
"rosa_maria_lauria",0.0,1,0.0
"maurocatarinelli",0.0,1,4
"chicneverland",0.0,1,32
"kane.bowen",0.0,1,0.0
"minettathepanda",0.0,1,109
"vaporizercity",0.0,1,0.0
"ebbo74",0.0,1,1
"kitchenvictim_events",0.0,1,110
"marianna1320",0.0,2,52
"thebigmessedupmum",11,2,501
"elenacibien",0.0,1,6
"amazinggirl1233",0.0,1,0.0
"tourbillondelavieshop",0.0,1,0.0
"robin.danielle.fitlife",0.0,1,0.0
"manu_boi",0.0,1,0.0
"veganfamilyrecipes",0.0,1,11
"ez68",0.0,1,14
"erikicca",0.0,1,10
"franzonimary",0.0,1,0.0
"raisemyfunds",0.0,1,1
"nandolai",0.0,1,29
"nutridate",0.0,1,2
"fusa_e_muffin",0.0,1,59
"tarrebola",0.0,1,11
"starmum_",0.0,1,72
"sarasamperi",0.0,1,15
"rosrosaria",0.0,1,2
"saraplus82",0.0,1,2
"francianeefabio",0.0,1,1
"adasol_",0.0,1,3
"loft67",0.0,1,8
"cucina_e_dintorni_con_teresa",15,2,8
"babiassi",1,1,3
"golosometro",0.0,1,0.0
"ileniame",0.0,1,40
"apranzodapit",0.0,2,83
"giudittacolombo",0.0,1,0.0
"verdy75",0.0,1,2
"oldnewvintageandblue",0.0,1,3
"miki.228",0.0,1,4
"paolaturani",0.0,1,16
"audaryavini",0.0,1,4
"cristinasantinon_rizonhills",0.0,2,4
"missmarzipancom",0.0,1,0.0
"vinegag",0.0,1,1
"federicabuccoli",52,15,71
"ig.hmap",0.0,1,3
"cleo_thequeen",0.0,1,23
"ikkio1947",0.0,1,34
"citrahendrawijaya",0.0,2,1
"anna_abroad_",0.0,1,1
"trippando",0.0,1,20
"lcc2009",0.0,2,0.0
"saimonet555",0.0,2,30
"markettoz",0.0,1,19
"kimklassen",0.0,1,1
"myriamottolenghi",0.0,1,1
"flowerslist_",0.0,1,36
"ellzie__",0.0,2,0.0
"jackydon69",0.0,1,11
"carlottatlg",0.0,2,1
"giulianadicuore",0.0,1,20
"apereginanevrotica",0.0,1,95
"vickyc75",0.0,1,7
"barbara_micheletto",0.0,1,20
"olga_slizh",0.0,1,3
"giadaesara",0.0,2,66
"4mely4",0.0,1,166
"acasamiablog",0.0,1,0.0
"veri_veronica",0.0,1,20
"spumadimandarini",0.0,2,82
"oggipaneesalame",0.0,1,4
"mericat.0316",0.0,1,0.0
"indigoveganjess",0.0,1,5
"vflorez12345",0.0,1,3
"bakesomecake",0.0,1,0.0
"hondo.x",0.0,1,0.0
"3heather24",0.0,1,0.0
"naomi23here",0.0,1,0.0
"trulyorganic",0.0,1,10
"lecasedideni",0.0,1,0.0
"veganfitnessmodel",0.0,1,1
"cdsfitstagram",0.0,1,0.0
"smoothyx",0.0,1,1
"wherethehellami_qm",0.0,1,0.0
"foodiesfeed",0.0,1,54
"hempandheart",0.0,1,0.0
"khoangsaywhat",0.0,1,0.0
"jephy_c",0.0,1,10
"canna51",0.0,1,20
"fattoconilcuore",0.0,2,8
"electrogrrrl",0.0,1,0.0
"guida.pinto",0.0,1,235
"inta_arinta",0.0,1,1
"ridkobot",0.0,1,0.0
"anna_t7",0.0,2,1
"vivaldifan",0.0,1,5
"giuliagorla",5,1,88
"andrearighetto",0.0,1,5
"michelamarigliano",0.0,1,92
"the_lens_warrior",0.0,1,0.0
"neselleept47",0.0,1,0.0
"emimusco",0.0,1,11
"russian.wolf",0.0,1,0.0
"enzagallotta64",0.0,1,29
"binkibonkibu",0.0,1,0.0
"p__eater",0.0,1,0.0
"dilettanonfarelasfigata",0.0,1,40
"picciolis",0.0,1,29
"takeshitadori",0.0,1,0.0
"oddfocus",0.0,1,0.0
"ps64",0.0,1,9
"mykitchen56",0.0,2,18
"renatamarini55",22,2,160
"baverahm",0.0,1,1
"alteregodress",0.0,1,0.0
"campinggoldenbeach",0.0,1,10
"wildaboutyarn",0.0,1,11
"bagrov",0.0,1,0.0
"marco_lucci",0.0,2,12
"clairetosee",3,1,0.0
"fotoarqui",0.0,1,0.0
"kasiadd99",0.0,1,1
"julie_cooper22",0.0,1,0.0
"daniela_corti",20,6,91
"capaspallaslash",0.0,1,8
"lavinia_porrello",7,1,67
"claredda",0.0,1,5
"netshome1",0.0,1,0.0
"traccediseppia",4,2,11
"shah_mili",0.0,1,0.0
"corbah_usa",0.0,1,0.0
"osmanyy",0.0,1,8
"la_bonati",69,9,13
"mecreativeinside",0.0,1,1
"icookandcode",0.0,1,11
"pierreblake",0.0,1,8
"good_food_lab",7,2,20
"sogrofood",0.0,1,16
"alessiasaro",0.0,4,136
"locanda2camini",34,1,24
"gaiamagenis",0.0,1,0.0
"svale910",0.0,2,0.0
"agricool80",0.0,1,0.0
"buffbodiez",0.0,1,0.0
"integraredimagrire",0.0,1,56
"niramontana",0.0,1,1
"lebianchemargherite",0.0,1,7
"rexagon_clo",0.0,1,0.0
"silviazermani",0.0,2,0.0
"instamamme",0.0,1,135
"shelfgram",0.0,1,14
"fabryart",0.0,1,23
"rottermaiers",0.0,1,6
"dinnerinprogress",25,3,204
"tery1717",4,2,7
"mona.mirzaagha.pt",0.0,1,1
"sweetcsdesigns",0.0,1,13
"iaia_mar",0.0,1,13
"patrmon",0.0,1,9
"sodastreamit",0.0,1,12
"ultimateigguide",0.0,1,7
"practical",0.0,1,1
"martacar",0.0,1,2
"migdoolas",0.0,1,0.0
"tidss97",0.0,1,0.0
"margokwekwe",0.0,1,0.0
"food2taste",65,11,40
"promodnica",0.0,1,1
"lilloelilla147",0.0,3,116
"sardegnamare",0.0,2,14
"stefaniamarin0",0.0,2,14
"perlapol",0.0,1,5
"adamseye",0.0,3,7
"sleefood",0.0,1,24
"barbarasjourney",0.0,1,0.0
"tonylovely",0.0,1,0.0
"bodyfitbychristina",0.0,1,1
"sandyferli",0.0,1,0.0
"ramochic",0.0,4,15
"elevationzer0",0.0,1,1
"turo93",0.0,1,15
"sara_starla",0.0,4,0.0
"spread_the_thread",0.0,1,2
"freshcreativeagency",0.0,1,0.0
"hence9keeping",0.0,1,0.0
"chicagoforrest",0.0,1,0.0
"daria_909_",0.0,1,3
"thepersiansalad_",0.0,2,2
"louloucel",0.0,1,0.0
"mislead3statistics",0.0,1,0.0
"network6reminding",0.0,1,1
"cirus",8,1,31
"yoco55",0.0,7,4
"justlovinglivinglife",0.0,1,13
